date,stock_id_x,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,stock_id_y,buy,name,sell,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2020-01-02,2330,484.0,38.0,6482595.0,1223.0,17198.0,17975.0, ,4.0,13.0,0.0,6482595.0,132.0,445.0,326.0,2330,13041781.0,Foreign_Investor,17798488.0,2330,台積電,TW0002330008,5611692044,20318688414,21.64,78.35,100.0,100.0,25930380458,2019-05-27,
2020-01-02,2330,484.0,38.0,6482595.0,1223.0,17198.0,17975.0, ,4.0,13.0,0.0,6482595.0,132.0,445.0,326.0,2330,0.0,Foreign_Dealer_Self,0.0,2330,台積電,TW0002330008,5611692044,20318688414,21.64,78.35,100.0,100.0,25930380458,2019-05-27,
2020-01-02,2330,484.0,38.0,6482595.0,1223.0,17198.0,17975.0, ,4.0,13.0,0.0,6482595.0,132.0,445.0,326.0,2330,20000.0,Investment_Trust,199000.0,2330,台積電,TW0002330008,5611692044,20318688414,21.64,78.35,100.0,100.0,25930380458,2019-05-27,
2020-01-02,2330,484.0,38.0,6482595.0,1223.0,17198.0,17975.0, ,4.0,13.0,0.0,6482595.0,132.0,445.0,326.0,2330,475000.0,Dealer_self,401000.0,2330,台積電,TW0002330008,5611692044,20318688414,21.64,78.35,100.0,100.0,25930380458,2019-05-27,
2020-01-02,2330,484.0,38.0,6482595.0,1223.0,17198.0,17975.0, ,4.0,13.0,0.0,6482595.0,132.0,445.0,326.0,2330,217000.0,Dealer_Hedging,308000.0,2330,台積電,TW0002330008,5611692044,20318688414,21.64,78.35,100.0,100.0,25930380458,2019-05-27,
2020-01-03,2330,1168.0,63.0,6482595.0,2010.0,16293.0,17198.0, ,16.0,35.0,0.0,6482595.0,161.0,571.0,445.0,2330,18817154.0,Foreign_Investor,16223795.0,2330,台積電,TW0002330008,5606668059,20323712399,21.62,78.37,100.0,100.0,25930380458,2019-05-27,
2020-01-03,2330,1168.0,63.0,6482595.0,2010.0,16293.0,17198.0, ,16.0,35.0,0.0,6482595.0,161.0,571.0,445.0,2330,0.0,Foreign_Dealer_Self,0.0,2330,台積電,TW0002330008,5606668059,20323712399,21.62,78.37,100.0,100.0,25930380458,2019-05-27,
2020-01-03,2330,1168.0,63.0,6482595.0,2010.0,16293.0,17198.0, ,16.0,35.0,0.0,6482595.0,161.0,571.0,445.0,2330,239000.0,Investment_Trust,42000.0,2330,台積電,TW0002330008,5606668059,20323712399,21.62,78.37,100.0,100.0,25930380458,2019-05-27,
2020-01-03,2330,1168.0,63.0,6482595.0,2010.0,16293.0,17198.0, ,16.0,35.0,0.0,6482595.0,161.0,571.0,445.0,2330,713000.0,Dealer_self,785000.0,2330,台積電,TW0002330008,5606668059,20323712399,21.62,78.37,100.0,100.0,25930380458,2019-05-27,
2020-01-03,2330,1168.0,63.0,6482595.0,2010.0,16293.0,17198.0, ,16.0,35.0,0.0,6482595.0,161.0,571.0,445.0,2330,66000.0,Dealer_Hedging,1102000.0,2330,台積電,TW0002330008,5606668059,20323712399,21.62,78.37,100.0,100.0,25930380458,2019-05-27,
